1
13 31 158
672 192 640 192
704 192 672 192
736 192 704 192
768 192 736 192
800 192 768 192
832 192 800 192
864 192 832 192
896 192 864 192
928 192 896 192
960 192 928 192
0 224 960 192
32 224 0 224
64 224 32 224
96 224 64 224
128 224 96 224
160 224 128 224
192 224 160 224
224 224 192 224
256 224 224 224
288 224 256 224
320 224 288 224
352 224 320 224
384 224 352 224
416 224 384 224
448 224 416 224
480 224 448 224
512 224 480 224
544 224 512 224
576 224 544 224
608 224 576 224
640 224 608 224
672 224 640 224
704 224 672 224
736 224 704 224
768 224 736 224
800 224 768 224
832 224 800 224
864 224 832 224
896 224 864 224
928 224 896 224
960 224 928 224
0 256 960 224
32 256 0 256
64 256 32 256
96 256 64 256
128 256 96 256
160 256 128 256
192 256 160 256
224 256 192 256
256 256 224 256
288 256 256 256
320 256 288 256
352 256 320 256
384 256 352 256
416 256 384 256
448 256 416 256
480 256 448 256
512 256 480 256
544 256 512 256
576 256 544 256
608 256 576 256
640 256 608 256
672 256 640 256
704 256 672 256
736 256 704 256
768 256 736 256
800 256 768 256
832 256 800 256
864 256 832 256
896 256 864 256
928 256 896 256
960 256 928 256
0 288 960 256
32 288 0 288
64 288 32 288
96 288 64 288
128 288 96 288
160 288 128 288
192 288 160 288
224 288 192 288
256 288 224 288
288 288 256 288
320 288 288 288
352 288 320 288
384 288 352 288
416 288 384 288
448 288 416 288
480 288 448 288
512 288 480 288
544 288 512 288
576 288 544 288
608 288 576 288
640 288 608 288
672 288 640 288
704 288 672 288
736 288 704 288
768 288 736 288
800 288 768 288
832 288 800 288
864 288 832 288
896 288 864 288
928 288 896 288
960 288 928 288
0 320 960 288
32 320 0 320
64 320 32 320
96 320 64 320
128 320 96 320
160 320 128 320
192 320 160 320
224 320 192 320
256 320 224 320
288 320 256 320
320 320 288 320
352 320 320 320
384 320 352 320
416 320 384 320
448 320 416 320
480 320 448 320
512 320 480 320
544 320 512 320
576 320 544 320
608 320 576 320
640 320 608 320
672 320 640 320
704 320 672 320
736 320 704 320
768 320 736 320
800 320 768 320
832 320 800 320
864 320 832 320
896 320 864 320
928 320 896 320
960 320 928 320
0 352 960 320
32 352 0 352
64 352 32 352
96 352 64 352
128 352 96 352
160 352 128 352
192 352 160 352
224 352 192 352
256 352 224 352
288 352 256 352
320 352 288 352
352 352 320 352
384 352 352 352
416 352 384 352
448 352 416 352
480 352 448 352
512 352 480 352
544 352 512 352
576 352 544 352
608 352 576 352
640 352 608 352
672 352 640 352
704 352 672 352
736 352 704 352
768 352 736 352
800 352 768 352
832 352 800 352
864 352 832 352
896 352 864 352
928 352 896 352
960 352 928 352
0 384 960 352
32 384 0 384
64 384 32 384
96 384 64 384
128 384 96 384
160 384 128 384
192 384 160 384
224 384 192 384
256 384 224 384
288 384 256 384
320 384 288 384
352 384 320 384
384 384 352 384
416 384 384 384
448 384 416 384
480 384 448 384
512 384 480 384
544 384 512 384
576 384 544 384
608 384 576 384
640 384 608 384
672 384 640 384
704 384 672 384
736 384 704 384
768 384 736 384
800 384 768 384
832 384 800 384
864 384 832 384
896 384 864 384
928 384 896 384
960 384 928 384
0 416 960 384
32 416 0 416
64 416 32 416
96 416 64 416
128 416 96 416
160 416 128 416
192 416 160 416
224 416 192 416
256 416 224 416
288 416 256 416
320 416 288 416
352 416 320 416
384 416 352 416
416 416 384 416
448 416 416 416
480 416 448 416
512 416 480 416
544 416 512 416
576 416 544 416
608 416 576 416
640 416 608 416
672 416 640 416
704 416 672 416
736 416 704 416
768 416 736 416
800 416 768 416
832 416 800 416
864 416 832 416
896 416 864 416
928 416 896 416
960 416 928 416
0 448 960 416
32 448 0 448
64 448 32 448
96 448 64 448
128 448 96 448
160 448 128 448
192 448 160 448
224 448 192 448
256 448 224 448
288 448 256 448
320 448 288 448
352 448 320 448
384 448 352 448
416 448 384 448
448 448 416 448
480 448 448 448
512 448 480 448
544 448 512 448
576 448 544 448
608 448 576 448
640 448 608 448
672 448 640 448
704 448 672 448
736 448 704 448
768 448 736 448
800 448 768 448
832 448 800 448
864 448 832 448
896 448 864 448
928 448 896 448
960 448 928 448
158 261 158 261
444 96 352 96
732 224 628 224
672 234 672 234
928 366 928 366
670 256 716 256
288 374 288 374
